total_sqft,floors,buildup_sqft,basement_sqft,price
7912,1.5,1340,0,313000
9050,2,3370,280,2384000
11947,1,1930,0,342000
8030,1,1000,1000,420000
10500,1,1140,800,550000
6380,1,880,0,490000
2560,1,1350,0,335000
35868,2,2710,0,482000
88426,1,1570,860,452500
6200,1.5,1520,0,640000
7320,1,1710,0,463000
4000,1.5,1910,1010,1400000
14892,1,1970,360,588500
6435,1,1090,0,365000
9480,1.5,2910,0,1200000
9720,1,1200,0,242500
6700,1,1570,0,419000
7231,2,3110,0,367500
5858,1,1370,0,257950
10277,1,1180,0,275000
10578,2,1550,690,750000
8800,1,1450,0,435000
1572,2.5,1470,280,626000
12261,2,2730,0,612500
6380,1,1130,470,495000
10834,1,1360,730,285000
7291,1,1360,1000,615000
11250,1.5,1300,900,698000
67518,2,2820,0,675000
4750,1,1700,900,790000
8700,1,1560,0,382500
3345,2,2190,670,499950
5000,1.5,1640,180,650000
8408,2,2820,0,625000
42884,1.5,2300,1330,400000
33151,2,3240,0,604000
4850,1,800,0,440000
19966,1,1090,760,287200
13100,1,1650,310,403000
6550,1,1440,950,750000
16215,1,1580,0,335000
8625,1,1480,0,260000
6174,1,850,0,308500
2875,2,1770,0,439950
9400,1,1210,0,235000
9180,1,1160,0,315000
35100,2,1970,0,437500
10460,2,1930,0,407500
1180,3,1270,0,445700
42998,2,3310,0,838000
37277,2,2710,0,630000
35200,1.5,2910,0,550000
4500,1.5,1880,830,805000
23103,1,1800,0,284000
9655,1,1460,750,470000
10000,1,1070,850,430000
125452,1,2190,0,491500
11995,2,3660,0,785000
1327,2,1040,280,385000
1368,2,1280,350,295000
6500,2,3310,0,555000
5539,2,2680,0,459990
54014,1,1560,1170,625000
5050,2,2540,0,300000
6605,2,2920,0,625000
5000,1,900,0,553000
14054,1,1130,520,379880
9945,1,1010,0,310000
7392,1,2680,0,775000
7350,1,1570,630,365000
9933,2,2010,520,331950
7130,2,1990,860,783500
6010,1,1140,1140,628000
8744,2,1900,0,560000
77972,1,1330,0,900000
1175,2,1110,160,531000
4000,2,1610,560,831000
